mass,fold,pred_nb,pred_glmnet,pred_svm,pred_maxent,pred_rf,pred_lb,pred_slda,pred_ensemble,pred_nb_correct,pred_glmnet_correct,pred_svm_correct,pred_maxent_correct,pred_rf_correct,pred_lb_correct,pred_slda_correct,pred_ensemble_correct
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
1,5,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
1,5,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1
0,5,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,5,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,5,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,5,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,5,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,5,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1
1,5,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,5,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
1,6,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1
1,6,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0
0,6,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1
1,6,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
1,6,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0
0,6,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
0,6,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0
1,6,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1
1,6,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1
0,6,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
0,6,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
